GP_ID,GP_Name,Block,District,State,Overall_PAI_Score,Overall_Grade,Overall_Category,T1_Poverty_Free_Score,T1_Poverty_Free_Grade,T1_Poverty_Free_Category,T2_Healthy_Score,T2_Healthy_Grade,T2_Healthy_Category,T3_Child_Friendly_Score,T3_Child_Friendly_Grade,T3_Child_Friendly_Category,T4_Water_Sufficient_Score,T4_Water_Sufficient_Grade,T4_Water_Sufficient_Category,T5_Clean_Green_Score,T5_Clean_Green_Grade,T5_Clean_Green_Category,T6_Self_Sufficient_Score,T6_Self_Sufficient_Grade,T6_Self_Sufficient_Category,T7_Socially_Just_Score,T7_Socially_Just_Grade,T7_Socially_Just_Category,T8_Good_Governance_Score,T8_Good_Governance_Grade,T8_Good_Governance_Category,T9_Women_Friendly_Score,T9_Women_Friendly_Grade,T9_Women_Friendly_Category
10696,Jassi Pau Wali,Bathinda [226],Bathinda,Punjab,64.06,B,Performer,72.74,B,Performer,78.52,A,Front Runner,67.81,B,Performer,69.48,B,Performer,52.74,C,Aspirant,54.5,C,Aspirant,73.6,B,Performer,62.32,B,Performer,52.63,Unknown,Unknown
10693,Gulabgarh,Bathinda [226],Bathinda,Punjab,64.02,B,Performer,68.48,B,Performer,80.04,A,Front Runner,76.26,A,Front Runner,74.89,B,Performer,51.41,C,Aspirant,48.91,C,Aspirant,76.16,A,Front Runner,62.47,B,Performer,52.63,Unknown,Unknown
10701,Katar Singh Wala,Bathinda [226],Bathinda,Punjab,63.44,B,Performer,78.9,A,Front Runner,75.87,A,Front Runner,69.6,B,Performer,66.76,B,Performer,54.89,C,Aspirant,51.71,C,Aspirant,77.98,A,Front Runner,57.83,C,Aspirant,52.63,Unknown,Unknown
10690,Gehri Devi Nagar,Bathinda [226],Bathinda,Punjab,63.26,B,Performer,73.55,B,Performer,69.86,B,Performer,80.49,A,Front Runner,61.1,B,Performer,55.95,C,Aspirant,48.93,C,Aspirant,76.58,A,Front Runner,58.31,C,Aspirant,52.63,Unknown,Unknown
10684,Burj Mehma,Bathinda [226],Bathinda,Punjab,62.83,B,Performer,66.5,B,Performer,71.61,B,Performer,75.93,A,Front Runner,67.3,B,Performer,48.35,C,Aspirant,58.35,C,Aspirant,69.51,B,Performer,66.47,B,Performer,52.63,Unknown,Unknown
10686,Chughe Khurd,Bathinda [226],Bathinda,Punjab,62.71,B,Performer,65.89,B,Performer,81.29,A,Front Runner,68.5,B,Performer,61.51,B,Performer,54.7,C,Aspirant,62.84,B,Performer,73.76,B,Performer,64.0,B,Performer,52.63,Unknown,Unknown
10716,Sardargarh,Bathinda [226],Bathinda,Punjab,61.33,B,Performer,63.64,B,Performer,78.12,A,Front Runner,82.78,A,Front Runner,75.6,A,Front Runner,52.64,C,Aspirant,43.5,C,Aspirant,72.71,B,Performer,46.38,C,Aspirant,52.63,Unknown,Unknown
10710,Mian,Bathinda [226],Bathinda,Punjab,61.2,B,Performer,73.16,B,Performer,77.47,A,Front Runner,62.76,B,Performer,67.93,B,Performer,48.39,C,Aspirant,41.17,C,Aspirant,79.29,A,Front Runner,58.33,C,Aspirant,52.63,Unknown,Unknown
10680,Bhagu,Bathinda [226],Bathinda,Punjab,61.19,B,Performer,67.13,B,Performer,74.66,B,Performer,82.56,A,Front Runner,58.53,C,Aspirant,53.05,C,Aspirant,48.93,C,Aspirant,76.6,A,Front Runner,50.31,C,Aspirant,52.63,Unknown,Unknown
10679,Behman Dewana,Bathinda [226],Bathinda,Punjab,60.94,B,Performer,73.58,B,Performer,71.51,B,Performer,57.89,C,Aspirant,61.92,B,Performer,53.71,C,Aspirant,55.06,C,Aspirant,76.22,A,Front Runner,54.32,C,Aspirant,52.63,Unknown,Unknown
10683,Bir Behman,Bathinda [226],Bathinda,Punjab,60.63,B,Performer,70.75,B,Performer,72.95,B,Performer,76.43,A,Front Runner,49.01,C,Aspirant,43.08,C,Aspirant,54.44,C,Aspirant,76.24,A,Front Runner,64.04,B,Performer,52.63,Unknown,Unknown
10715,Phus Mandi,Bathinda [226],Bathinda,Punjab,60.03,B,Performer,65.24,B,Performer,80.12,A,Front Runner,61.13,B,Performer,68.29,B,Performer,52.83,C,Aspirant,48.94,C,Aspirant,76.1,A,Front Runner,52.05,C,Aspirant,52.63,Unknown,Unknown
277610,Baba Jivan Singh Nagar,Bathinda [226],Bathinda,Punjab,58.72,C,Aspirant,69.45,B,Performer,71.35,B,Performer,73.71,B,Performer,80.0,A,Front Runner,48.7,C,Aspirant,32.36,D,Beginner,74.28,B,Performer,43.21,C,Aspirant,52.63,Unknown,Unknown
10718,Talab Nehar,Bathinda [226],Bathinda,Punjab,57.4,C,Aspirant,65.37,B,Performer,73.25,B,Performer,74.44,B,Performer,76.91,A,Front Runner,46.82,C,Aspirant,25.63,D,Beginner,78.48,A,Front Runner,55.71,C,Aspirant,52.63,Unknown,Unknown
10681,Bhisiana,Bathinda [226],Bathinda,Punjab,57.32,C,Aspirant,57.22,C,Aspirant,84.67,A,Front Runner,68.18,B,Performer,66.08,B,Performer,56.51,C,Aspirant,30.62,D,Beginner,62.28,B,Performer,55.83,C,Aspirant,52.63,Unknown,Unknown
10674,Balade Wala,Bathinda [226],Bathinda,Punjab,57.31,C,Aspirant,57.62,C,Aspirant,77.85,A,Front Runner,69.41,B,Performer,54.64,C,Aspirant,42.2,C,Aspirant,51.7,C,Aspirant,70.7,B,Performer,52.08,C,Aspirant,52.63,Unknown,Unknown
10700,Karamgarh Satran,Bathinda [226],Bathinda,Punjab,57.06,C,Aspirant,68.7,B,Performer,66.0,B,Performer,69.29,B,Performer,73.17,B,Performer,49.58,C,Aspirant,33.36,D,Beginner,79.89,A,Front Runner,47.25,C,Aspirant,52.63,Unknown,Unknown
235959,Talab Nahar Basti,Bathinda [226],Bathinda,Punjab,55.19,C,Aspirant,65.26,B,Performer,73.21,B,Performer,74.44,B,Performer,75.56,A,Front Runner,44.58,C,Aspirant,23.54,D,Beginner,69.39,B,Performer,47.23,C,Aspirant,52.63,Unknown,Unknown
277611,Deon Khurd,Bathinda [226],Bathinda,Punjab,54.85,C,Aspirant,79.07,A,Front Runner,80.75,A,Front Runner,62.14,B,Performer,53.54,C,Aspirant,31.08,D,Beginner,24.74,D,Beginner,76.92,A,Front Runner,55.56,C,Aspirant,52.63,Unknown,Unknown
235948,Basti Bajigar,Bathinda [226],Bathinda,Punjab,53.05,C,Aspirant,35.69,D,Beginner,65.54,B,Performer,64.27,B,Performer,56.67,C,Aspirant,53.61,C,Aspirant,39.59,D,Beginner,65.31,B,Performer,54.32,C,Aspirant,52.63,Unknown,Unknown
10790,Bhodipura,Bhagta Bhaika [227],Bathinda,Punjab,67.6,B,Performer,65.52,B,Performer,88.26,A,Front Runner,65.24,B,Performer,71.88,B,Performer,51.76,C,Aspirant,62.78,B,Performer,78.18,A,Front Runner,72.51,B,Performer,59.03,C,Aspirant
10804,Gumti Kalan,Bhagta Bhaika [227],Bathinda,Punjab,67.41,B,Performer,69.66,B,Performer,86.65,A,Front Runner,75.76,A,Front Runner,62.7,B,Performer,45.54,C,Aspirant,66.25,B,Performer,81.76,A,Front Runner,66.78,B,Performer,60.85,B,Performer
10816,Neor,Bhagta Bhaika [227],Bathinda,Punjab,65.81,B,Performer,66.8,B,Performer,86.68,A,Front Runner,71.01,B,Performer,76.7,A,Front Runner,53.58,C,Aspirant,50.74,C,Aspirant,78.99,A,Front Runner,59.84,C,Aspirant,57.17,C,Aspirant
10823,Ramuwala,Bhagta Bhaika [227],Bathinda,Punjab,64.75,B,Performer,68.23,B,Performer,81.71,A,Front Runner,83.27,A,Front Runner,60.24,B,Performer,51.33,C,Aspirant,54.44,C,Aspirant,80.86,A,Front Runner,64.17,B,Performer,49.36,C,Aspirant
10807,Hamir Garh,Bhagta Bhaika [227],Bathinda,Punjab,64.63,B,Performer,70.08,B,Performer,84.2,A,Front Runner,82.15,A,Front Runner,52.92,C,Aspirant,47.98,C,Aspirant,54.44,C,Aspirant,81.31,A,Front Runner,62.52,B,Performer,57.77,C,Aspirant
10805,Gurusar,Bhagta Bhaika [227],Bathinda,Punjab,64.61,B,Performer,77.08,A,Front Runner,77.97,A,Front Runner,68.35,B,Performer,73.69,B,Performer,44.08,C,Aspirant,54.44,C,Aspirant,80.95,A,Front Runner,65.52,B,Performer,50.94,C,Aspirant
235963,Gurdit Singh Wala,Bhagta Bhaika [227],Bathinda,Punjab,63.95,B,Performer,79.29,A,Front Runner,75.28,A,Front Runner,63.71,B,Performer,80.56,A,Front Runner,53.12,C,Aspirant,39.8,D,Beginner,81.89,A,Front Runner,54.71,C,Aspirant,61.66,B,Performer
10787,Aklia Jalal,Bhagta Bhaika [227],Bathinda,Punjab,63.85,B,Performer,70.3,B,Performer,80.24,A,Front Runner,73.16,B,Performer,67.2,B,Performer,50.66,C,Aspirant,48.89,C,Aspirant,81.95,A,Front Runner,58.49,C,Aspirant,53.56,C,Aspirant
290391,Kothe Bhaiana (Out Side Of Mc Area),Bhagta Bhaika [227],Bathinda,Punjab,63.42,B,Performer,71.46,B,Performer,80.83,A,Front Runner,59.86,C,Aspirant,66.0,B,Performer,65.88,B,Performer,46.29,C,Aspirant,78.68,A,Front Runner,57.83,C,Aspirant,52.41,C,Aspirant
10809,Jalal,Bhagta Bhaika [227],Bathinda,Punjab,62.95,B,Performer,62.23,B,Performer,81.61,A,Front Runner,73.12,B,Performer,64.63,B,Performer,50.83,C,Aspirant,52.92,C,Aspirant,62.43,B,Performer,70.61,B,Performer,54.54,C,Aspirant
10793,Burj Ladha Singh,Bhagta Bhaika [227],Bathinda,Punjab,61.85,B,Performer,61.47,B,Performer,87.75,A,Front Runner,73.04,B,Performer,69.39,B,Performer,48.7,C,Aspirant,44.44,C,Aspirant,78.71,A,Front Runner,54.61,C,Aspirant,52.08,C,Aspirant
10811,Kangar,Bhagta Bhaika [227],Bathinda,Punjab,61.39,B,Performer,67.95,B,Performer,79.65,A,Front Runner,68.73,B,Performer,68.25,B,Performer,48.98,C,Aspirant,41.48,C,Aspirant,81.42,A,Front Runner,58.54,C,Aspirant,50.34,C,Aspirant
10812,Kesar Singh Wala,Bhagta Bhaika [227],Bathinda,Punjab,61.29,B,Performer,68.47,B,Performer,73.98,B,Performer,85.56,A,Front Runner,53.73,C,Aspirant,48.03,C,Aspirant,45.88,C,Aspirant,80.22,A,Front Runner,54.62,C,Aspirant,54.28,C,Aspirant
10799,Dialpura Bhaika,Bhagta Bhaika [227],Bathinda,Punjab,60.96,B,Performer,74.75,B,Performer,73.63,B,Performer,58.28,C,Aspirant,75.36,A,Front Runner,44.81,C,Aspirant,51.76,C,Aspirant,80.38,A,Front Runner,58.6,C,Aspirant,44.0,C,Aspirant
10829,Siriewala,Bhagta Bhaika [227],Bathinda,Punjab,60.61,B,Performer,52.39,C,Aspirant,83.85,A,Front Runner,64.08,B,Performer,50.84,C,Aspirant,46.69,C,Aspirant,60.56,B,Performer,67.46,B,Performer,72.55,B,Performer,55.74,C,Aspirant
235962,Basti Surjitpura,Bhagta Bhaika [227],Bathinda,Punjab,60.33,B,Performer,67.16,B,Performer,76.81,A,Front Runner,72.33,B,Performer,47.07,C,Aspirant,49.13,C,Aspirant,43.33,C,Aspirant,73.83,B,Performer,57.67,C,Aspirant,66.56,B,Performer
10822,Rajgarh,Bhagta Bhaika [227],Bathinda,Punjab,60.33,B,Performer,69.11,B,Performer,86.39,A,Front Runner,62.83,B,Performer,54.37,C,Aspirant,45.13,C,Aspirant,51.76,C,Aspirant,80.19,A,Front Runner,57.32,C,Aspirant,48.35,C,Aspirant
10800,Dialpura Mirza,Bhagta Bhaika [227],Bathinda,Punjab,60.07,B,Performer,48.54,C,Aspirant,89.69,A,Front Runner,65.0,B,Performer,54.94,C,Aspirant,46.31,C,Aspirant,51.53,C,Aspirant,71.88,B,Performer,68.44,B,Performer,55.76,C,Aspirant
10802,Gauns Pura,Bhagta Bhaika [227],Bathinda,Punjab,59.67,C,Aspirant,74.0,B,Performer,74.35,B,Performer,65.79,B,Performer,53.88,C,Aspirant,50.57,C,Aspirant,46.67,C,Aspirant,82.18,A,Front Runner,55.66,C,Aspirant,45.52,C,Aspirant
275694,Surjit Nagar,Bhagta Bhaika [227],Bathinda,Punjab,59.61,C,Aspirant,67.3,B,Performer,88.99,A,Front Runner,74.0,B,Performer,61.46,B,Performer,71.16,B,Performer,31.43,D,Beginner,77.23,A,Front Runner,38.99,D,Beginner,51.8,C,Aspirant
10826,Salawatpura,Bhagta Bhaika [227],Bathinda,Punjab,59.32,C,Aspirant,71.31,B,Performer,75.61,A,Front Runner,47.26,C,Aspirant,52.31,C,Aspirant,47.8,C,Aspirant,48.89,C,Aspirant,82.83,A,Front Runner,66.71,B,Performer,52.87,C,Aspirant
273782,Maluka Khurd,Bhagta Bhaika [227],Bathinda,Punjab,58.72,C,Aspirant,58.2,C,Aspirant,87.17,A,Front Runner,62.85,B,Performer,51.92,C,Aspirant,51.5,C,Aspirant,48.0,C,Aspirant,76.61,A,Front Runner,46.57,C,Aspirant,56.81,C,Aspirant
243905,Rajgarh Khurd,Bhagta Bhaika [227],Bathinda,Punjab,58.59,C,Aspirant,49.86,C,Aspirant,88.63,A,Front Runner,76.69,A,Front Runner,47.67,C,Aspirant,49.35,C,Aspirant,43.13,C,Aspirant,76.54,A,Front Runner,55.8,C,Aspirant,55.41,C,Aspirant
10806,Hakam Singh Wala,Bhagta Bhaika [227],Bathinda,Punjab,58.4,C,Aspirant,68.44,B,Performer,86.77,A,Front Runner,61.89,B,Performer,53.51,C,Aspirant,51.41,C,Aspirant,40.56,C,Aspirant,77.95,A,Front Runner,46.55,C,Aspirant,53.1,C,Aspirant
10813,Koer Singh Wala,Bhagta Bhaika [227],Bathinda,Punjab,58.27,C,Aspirant,68.79,B,Performer,82.0,A,Front Runner,72.41,B,Performer,59.04,C,Aspirant,45.1,C,Aspirant,40.56,C,Aspirant,81.67,A,Front Runner,42.75,C,Aspirant,50.27,C,Aspirant
10786,Adampura,Bhagta Bhaika [227],Bathinda,Punjab,58.16,C,Aspirant,51.68,C,Aspirant,72.33,B,Performer,67.37,B,Performer,63.22,B,Performer,42.85,C,Aspirant,48.89,C,Aspirant,76.41,A,Front Runner,58.58,C,Aspirant,51.04,C,Aspirant
273783,Kotha Guru Khurd,Bhagta Bhaika [227],Bathinda,Punjab,56.57,C,Aspirant,65.0,B,Performer,86.76,A,Front Runner,74.0,B,Performer,34.55,D,Beginner,54.12,C,Aspirant,41.43,C,Aspirant,77.48,A,Front Runner,39.08,D,Beginner,60.61,B,Performer
10795,Burj Throar,Bhagta Bhaika [227],Bathinda,Punjab,54.89,C,Aspirant,59.24,C,Aspirant,81.71,A,Front Runner,61.04,B,Performer,51.01,C,Aspirant,52.29,C,Aspirant,35.56,D,Beginner,77.71,A,Front Runner,46.9,C,Aspirant,44.31,C,Aspirant
235960,Nawan Kesar Singh Wala,Bhagta Bhaika [227],Bathinda,Punjab,52.32,C,Aspirant,66.0,B,Performer,80.27,A,Front Runner,55.32,C,Aspirant,57.38,C,Aspirant,35.19,D,Beginner,30.0,D,Beginner,77.48,A,Front Runner,46.35,C,Aspirant,46.1,C,Aspirant
10702,Khemuana,Goniana [7333],Bathinda,Punjab,61.61,B,Performer,67.31,B,Performer,75.33,A,Front Runner,83.32,A,Front Runner,63.8,B,Performer,50.63,C,Aspirant,46.67,C,Aspirant,77.5,A,Front Runner,48.2,C,Aspirant,53.78,C,Aspirant
10682,Bhokhra,Goniana [7333],Bathinda,Punjab,61.51,B,Performer,70.66,B,Performer,84.79,A,Front Runner,74.0,B,Performer,65.95,B,Performer,47.9,C,Aspirant,37.5,D,Beginner,76.54,A,Front Runner,40.35,C,Aspirant,77.7,A,Front Runner
10707,Mehma Sarja,Goniana [7333],Bathinda,Punjab,61.51,B,Performer,88.64,A,Front Runner,88.38,A,Front Runner,76.18,A,Front Runner,66.28,B,Performer,46.39,C,Aspirant,33.34,D,Beginner,75.23,A,Front Runner,46.67,C,Aspirant,58.66,C,Aspirant
10669,Akalian Kalan,Goniana [7333],Bathinda,Punjab,58.51,C,Aspirant,78.08,A,Front Runner,81.95,A,Front Runner,58.74,C,Aspirant,66.41,B,Performer,47.8,C,Aspirant,37.41,D,Beginner,79.13,A,Front Runner,38.32,D,Beginner,59.34,C,Aspirant
10676,Balahar Mehma,Goniana [7333],Bathinda,Punjab,58.11,C,Aspirant,62.93,B,Performer,82.0,A,Front Runner,69.29,B,Performer,62.55,B,Performer,48.92,C,Aspirant,38.89,D,Beginner,79.2,A,Front Runner,40.28,C,Aspirant,55.69,C,Aspirant
10675,Balahar Binjhu,Goniana [7333],Bathinda,Punjab,57.79,C,Aspirant,76.03,A,Front Runner,86.57,A,Front Runner,61.43,B,Performer,56.68,C,Aspirant,57.52,C,Aspirant,41.11,C,Aspirant,77.21,A,Front Runner,36.25,D,Beginner,47.42,C,Aspirant
10704,Kili Nihal Singh,Goniana [7333],Bathinda,Punjab,57.44,C,Aspirant,73.49,B,Performer,80.28,A,Front Runner,69.29,B,Performer,58.22,C,Aspirant,50.22,C,Aspirant,41.67,C,Aspirant,76.56,A,Front Runner,32.44,D,Beginner,55.06,C,Aspirant
235957,Kothe Lakhi Jangal,Goniana [7333],Bathinda,Punjab,56.74,C,Aspirant,71.53,B,Performer,83.39,A,Front Runner,74.0,B,Performer,68.56,B,Performer,51.55,C,Aspirant,28.75,D,Beginner,79.85,A,Front Runner,23.22,D,Beginner,73.25,B,Performer
10709,Mehma Swai,Goniana [7333],Bathinda,Punjab,56.71,C,Aspirant,82.16,A,Front Runner,65.63,B,Performer,60.79,B,Performer,62.56,B,Performer,47.58,C,Aspirant,41.18,C,Aspirant,80.35,A,Front Runner,28.38,D,Beginner,66.25,B,Performer
10692,Goniana Khurd,Goniana [7333],Bathinda,Punjab,56.63,C,Aspirant,70.79,B,Performer,90.0,A+,Achiever,83.39,A,Front Runner,56.87,C,Aspirant,30.43,D,Beginner,40.74,C,Aspirant,77.71,A,Front Runner,34.99,D,Beginner,58.77,C,Aspirant
10691,Goniana Kalan,Goniana [7333],Bathinda,Punjab,55.07,C,Aspirant,62.33,B,Performer,91.33,A+,Achiever,69.29,B,Performer,65.36,B,Performer,47.65,C,Aspirant,38.89,D,Beginner,76.11,A,Front Runner,26.63,D,Beginner,48.1,C,Aspirant
235951,Kothe Kaur Singh Wala,Goniana [7333],Bathinda,Punjab,54.84,C,Aspirant,64.44,B,Performer,59.17,C,Aspirant,67.0,B,Performer,66.25,B,Performer,52.93,C,Aspirant,28.15,D,Beginner,85.0,A,Front Runner,44.96,C,Aspirant,46.57,C,Aspirant
235949,Kothe Budh Singh,Goniana [7333],Bathinda,Punjab,54.71,C,Aspirant,63.33,B,Performer,66.0,B,Performer,65.72,B,Performer,63.33,B,Performer,49.09,C,Aspirant,42.16,C,Aspirant,78.13,A,Front Runner,28.94,D,Beginner,53.95,C,Aspirant
10717,Sivian,Goniana [7333],Bathinda,Punjab,54.71,C,Aspirant,75.63,A,Front Runner,85.74,A,Front Runner,69.13,B,Performer,65.87,B,Performer,52.06,C,Aspirant,20.38,D,Beginner,74.61,B,Performer,38.5,D,Beginner,48.77,C,Aspirant
10697,Jeeda,Goniana [7333],Bathinda,Punjab,54.64,C,Aspirant,73.77,B,Performer,62.0,B,Performer,59.38,C,Aspirant,51.95,C,Aspirant,47.0,C,Aspirant,42.59,C,Aspirant,75.4,A,Front Runner,39.6,D,Beginner,51.46,C,Aspirant
10714,Patti Gill,Goniana [7333],Bathinda,Punjab,54.17,C,Aspirant,63.41,B,Performer,79.23,A,Front Runner,63.59,B,Performer,54.41,C,Aspirant,47.26,C,Aspirant,52.94,C,Aspirant,76.15,A,Front Runner,24.26,D,Beginner,50.03,C,Aspirant
235958,Kothe Nathiana,Goniana [7333],Bathinda,Punjab,54.16,C,Aspirant,56.97,C,Aspirant,76.76,A,Front Runner,58.82,C,Aspirant,53.61,C,Aspirant,53.99,C,Aspirant,40.31,C,Aspirant,76.37,A,Front Runner,37.33,D,Beginner,46.88,C,Aspirant
235953,Kothe Chat Singh Wala,Goniana [7333],Bathinda,Punjab,54.14,C,Aspirant,69.21,B,Performer,74.96,B,Performer,62.41,B,Performer,50.96,C,Aspirant,50.46,C,Aspirant,31.33,D,Beginner,63.09,B,Performer,45.01,C,Aspirant,53.98,C,Aspirant
10703,Khiali Wala,Goniana [7333],Bathinda,Punjab,53.96,C,Aspirant,56.94,C,Aspirant,87.47,A,Front Runner,80.51,A,Front Runner,57.6,C,Aspirant,39.05,D,Beginner,46.67,C,Aspirant,66.94,B,Performer,28.22,D,Beginner,48.74,C,Aspirant
235954,Kothe Phula Singh Wale,Goniana [7333],Bathinda,Punjab,53.93,C,Aspirant,63.64,B,Performer,80.97,A,Front Runner,76.64,A,Front Runner,63.33,B,Performer,48.95,C,Aspirant,22.08,D,Beginner,61.34,B,Performer,44.88,C,Aspirant,51.9,C,Aspirant
10668,Ablu,Goniana [7333],Bathinda,Punjab,53.9,C,Aspirant,83.18,A,Front Runner,65.58,B,Performer,74.0,B,Performer,64.76,B,Performer,44.25,C,Aspirant,25.01,D,Beginner,79.64,A,Front Runner,30.82,D,Beginner,54.05,C,Aspirant
235950,Kothe Lal Singh Wala,Goniana [7333],Bathinda,Punjab,53.7,C,Aspirant,66.47,B,Performer,50.83,C,Aspirant,54.0,C,Aspirant,64.25,B,Performer,52.82,C,Aspirant,27.38,D,Beginner,81.99,A,Front Runner,44.95,C,Aspirant,59.46,C,Aspirant
235952,Kothe Sandhuan Wala,Goniana [7333],Bathinda,Punjab,53.37,C,Aspirant,65.96,B,Performer,73.57,B,Performer,74.44,B,Performer,55.94,C,Aspirant,49.79,C,Aspirant,19.42,D,Beginner,70.0,B,Performer,44.25,C,Aspirant,58.01,C,Aspirant
10695,Jandan Wala,Goniana [7333],Bathinda,Punjab,53.34,C,Aspirant,60.42,B,Performer,80.4,A,Front Runner,83.74,A,Front Runner,56.52,C,Aspirant,45.89,C,Aspirant,42.04,C,Aspirant,75.21,A,Front Runner,22.73,D,Beginner,46.07,C,Aspirant
277577,Kothe Mansoor Ke,Goniana [7333],Bathinda,Punjab,53.07,C,Aspirant,65.14,B,Performer,79.09,A,Front Runner,65.98,B,Performer,59.83,C,Aspirant,45.58,C,Aspirant,35.63,D,Beginner,71.39,B,Performer,29.13,D,Beginner,48.59,C,Aspirant
10708,Mehma Sarkari,Goniana [7333],Bathinda,Punjab,52.6,C,Aspirant,69.62,B,Performer,81.8,A,Front Runner,75.76,A,Front Runner,65.87,B,Performer,46.3,C,Aspirant,33.33,D,Beginner,78.76,A,Front Runner,15.86,D,Beginner,56.3,C,Aspirant
10694,Har Raipur Alias Bhokhri,Goniana [7333],Bathinda,Punjab,52.26,C,Aspirant,65.43,B,Performer,80.39,A,Front Runner,81.72,A,Front Runner,54.49,C,Aspirant,43.67,C,Aspirant,35.56,D,Beginner,72.58,B,Performer,22.57,D,Beginner,48.81,C,Aspirant
10706,Mehma Bhagwana,Goniana [7333],Bathinda,Punjab,51.38,C,Aspirant,68.3,B,Performer,69.72,B,Performer,61.96,B,Performer,64.63,B,Performer,49.77,C,Aspirant,41.11,C,Aspirant,68.83,B,Performer,20.01,D,Beginner,46.41,C,Aspirant
10712,Nahian Wala,Goniana [7333],Bathinda,Punjab,50.68,C,Aspirant,51.24,C,Aspirant,80.73,A,Front Runner,68.2,B,Performer,65.2,B,Performer,32.89,D,Beginner,30.56,D,Beginner,72.14,B,Performer,32.1,D,Beginner,51.54,C,Aspirant
