VILLAGE_ID,VILLAGE_NAME_x,GP_ID,GP_NAME,BLOCK NAME,DISTRICT NAME,STATE NAME,TOTAL - COMMUNITY COMPOST PITS,TOTAL - VEHICLES FOR COLLECTION & TRANSPORTATION OF WASTE,TOTAL - WASTE COLLECTION AND SEGREGATION SHEDS IN THE VILLAGE,TOTAL - SEGREGATION BINS AT COMMUNITY PLACES IN THE VILLAGE,TOTAL - COMMUNITY BIO-GAS PLANTS - UNDER OTHER SCHEMES,TOTAL - COMPOST PITS,TOTAL - BIOGAS PLANTS,TOTAL - FEEDING TO CATTLE,TOTAL - HOUSEHOLD BINS,TOTAL - COMMUNITY SOAK/LEACH/MAGIC PITS,TOTAL - DRAINAGE FACILITY AVAILABLE IN VILLAGE,TOTAL - COMMUNITY GREY WATER MANAGEMENT SYSTEMS,TOTAL - LEACH PITS,TOTAL - MAGIC PITS,TOTAL - SOAK PITS,TOTAL - KITCHEN GARDEN,TOTAL - DUCKWEED POND,ODF DECLARATION STATUS,GP_Name,Block,District,State,Overall_PAI_Score,Overall_Grade,Overall_Category,T1_Poverty_Free_Score,T1_Poverty_Free_Grade,T1_Poverty_Free_Category,T2_Healthy_Score,T2_Healthy_Grade,T2_Healthy_Category,T3_Child_Friendly_Score,T3_Child_Friendly_Grade,T3_Child_Friendly_Category,T4_Water_Sufficient_Score,T4_Water_Sufficient_Grade,T4_Water_Sufficient_Category,T5_Clean_Green_Score,T5_Clean_Green_Grade,T5_Clean_Green_Category,T6_Self_Sufficient_Score,T6_Self_Sufficient_Grade,T6_Self_Sufficient_Category,T7_Socially_Just_Score,T7_Socially_Just_Grade,T7_Socially_Just_Category,T8_Good_Governance_Score,T8_Good_Governance_Grade,T8_Good_Governance_Category,T9_Women_Friendly_Score,T9_Women_Friendly_Grade,T9_Women_Friendly_Category,VILLAGE_NAME_y,PANCHAYAT_NAME,BLOCK_NAME,DISTRICT_NAME,STATE_NAME,TOTAL_POPULATION,SC_POPULATION,ST_POPULATION,GEN_POPULATION,NO._OF_HABITATIONS,IS_PWS_AVAILABLE,JJM_STATUS,HAR_GHAR_JAL_CERTIFICATE,TOTAL_HOUSEHOLDS,TOTAL_TAP_CONNECTIONS,State Name,District Name,Block Name,Panchayat Name,Total Registered HH,Total Registered Persons,SC HH,SC Persons,ST HH,ST Persons,Male Persons,Female Persons
35773,Bir Behman,10683,BIR BEHMAN,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,Bir Behman,Bathinda [226],Bathinda,Punjab,60.63,B,Performer,70.75,B,Performer,72.95,B,Performer,76.43,A,Front Runner,49.01,C,Aspirant,43.08,C,Aspirant,54.44,C,Aspirant,76.24,A,Front Runner,64.04,B,Performer,52.63,Unknown,Unknown,Bir Behman,Bir Behman,Bathinda,Bathinda,Punjab,2540.0,1203.0,0.0,1337.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,467.0,467.0,PUNJAB,BATHINDA,BATHINDA,BIR BEHMAN,345.0,639.0,310.0,584.0,0.0,0.0,307.0,332.0
35769,Burj Mehma,10684,BURJ MEHMA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,Burj Mehma,Bathinda [226],Bathinda,Punjab,62.83,B,Performer,66.5,B,Performer,71.61,B,Performer,75.93,A,Front Runner,67.3,B,Performer,48.35,C,Aspirant,58.35,C,Aspirant,69.51,B,Performer,66.47,B,Performer,52.63,Unknown,Unknown,Burj Mehma,Burj Mehma,Bathinda,Bathinda,Punjab,3095.0,1641.0,0.0,1454.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,600.0,600.0,PUNJAB,BATHINDA,BATHINDA,BURAJ MEHMA,725.0,1411.0,661.0,1292.0,0.0,0.0,695.0,716.0
35780,Chughe Kalan,10685,CHUGHE KALAN,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,Chughe Kalan,Bathinda [226],Bathinda,Punjab,64.32,B,Performer,70.09,B,Performer,75.24,A,Front Runner,73.09,B,Performer,69.71,B,Performer,52.9,C,Aspirant,52.27,C,Aspirant,74.29,B,Performer,68.21,B,Performer,52.63,Unknown,Unknown,Chughe Kalan,Chughe Kalan,Bathinda,Bathinda,Punjab,3955.0,1255.0,0.0,2700.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,824.0,824.0,PUNJAB,BATHINDA,BATHINDA,CHUGHE KALAN,439.0,838.0,351.0,684.0,0.0,0.0,410.0,428.0
35774,Chughe Khurd,10686,CHUGHE KHURD,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chughe Khurd,Bathinda [226],Bathinda,Punjab,62.71,B,Performer,65.89,B,Performer,81.29,A,Front Runner,68.5,B,Performer,61.51,B,Performer,54.7,C,Aspirant,62.84,B,Performer,73.76,B,Performer,64.0,B,Performer,52.63,Unknown,Unknown,Chughe Khurd,Chughe Khurd,Bathinda,Bathinda,Punjab,2575.0,1274.0,0.0,1301.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,466.0,466.0,PUNJAB,BATHINDA,BATHINDA,CHUGHE KHURD,293.0,599.0,233.0,476.0,0.0,0.0,297.0,302.0
35770,Deon,10688,DEON,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,Deon,Bathinda [226],Bathinda,Punjab,64.88,B,Performer,82.43,A,Front Runner,75.62,A,Front Runner,57.78,C,Aspirant,71.98,B,Performer,49.54,C,Aspirant,61.19,B,Performer,84.57,A,Front Runner,62.32,B,Performer,52.63,Unknown,Unknown,Deon,Deon,Bathinda,Bathinda,Punjab,7140.0,2851.0,0.0,4289.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1361.0,1361.0,PUNJAB,BATHINDA,BATHINDA,DEON,558.0,1172.0,484.0,1040.0,0.0,0.0,602.0,570.0
35770,DEON,277611,DEON KHURD,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,This village is NOT declared as ODF-Plus,Deon Khurd,Bathinda [226],Bathinda,Punjab,54.85,C,Aspirant,79.07,A,Front Runner,80.75,A,Front Runner,62.14,B,Performer,53.54,C,Aspirant,31.08,D,Beginner,24.74,D,Beginner,76.92,A,Front Runner,55.56,C,Aspirant,52.63,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
35803,GEHRI DEVI NAGAR,10690,GEHRI DEVI NAGAR,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,Gehri Devi Nagar,Bathinda [226],Bathinda,Punjab,63.26,B,Performer,73.55,B,Performer,69.86,B,Performer,80.49,A,Front Runner,61.1,B,Performer,55.95,C,Aspirant,48.93,C,Aspirant,76.58,A,Front Runner,58.31,C,Aspirant,52.63,Unknown,Unknown,Gehri Devi Nagar Urf Gehri Bhagi,Gehri Devi Nagar,Bathinda,Bathinda,Punjab,5580.0,1465.0,0.0,4115.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,953.0,953.0,PUNJAB,BATHINDA,BATHINDA,GEHRI DEVI NAGAR,360.0,680.0,221.0,406.0,0.0,0.0,321.0,359.0
35795,GULABGARH URF NAIWALA,10693,GULABGARH,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,Gulabgarh,Bathinda [226],Bathinda,Punjab,64.02,B,Performer,68.48,B,Performer,80.04,A,Front Runner,76.26,A,Front Runner,74.89,B,Performer,51.41,C,Aspirant,48.91,C,Aspirant,76.16,A,Front Runner,62.47,B,Performer,52.63,Unknown,Unknown,Gulabgarh,Gulabgarh,Bathinda,Bathinda,Punjab,1756.0,566.0,0.0,1190.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,342.0,342.0,PUNJAB,BATHINDA,BATHINDA,GULABGARH,193.0,314.0,155.0,260.0,0.0,0.0,148.0,166.0
35793,JASSI PAUWALI,10696,JASSI PAU WALI,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,,Jassi Pau Wali,Bathinda [226],Bathinda,Punjab,64.06,B,Performer,72.74,B,Performer,78.52,A,Front Runner,67.81,B,Performer,69.48,B,Performer,52.74,C,Aspirant,54.5,C,Aspirant,73.6,B,Performer,62.32,B,Performer,52.63,Unknown,Unknown,Jassi Pau Wali,Jassi Pau Wali,Bathinda,Bathinda,Punjab,3155.0,1099.0,0.0,2056.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,606.0,606.0,PUNJAB,BATHINDA,BATHINDA,JASSI PAUWALI,297.0,462.0,196.0,297.0,0.0,0.0,180.0,282.0
35781,Jhumba,10698,JHUMBA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,Jhumba,Bathinda [226],Bathinda,Punjab,65.89,B,Performer,80.84,A,Front Runner,80.71,A,Front Runner,69.0,B,Performer,68.63,B,Performer,49.15,C,Aspirant,56.02,C,Aspirant,75.35,A,Front Runner,72.08,B,Performer,52.63,Unknown,Unknown,Jhumba,Jhumba,Bathinda,Bathinda,Punjab,4292.0,1745.0,0.0,2547.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,943.0,943.0,PUNJAB,BATHINDA,BATHINDA,JHUMBA,609.0,1188.0,422.0,851.0,0.0,0.0,620.0,568.0
35792,Jodhpur Romana,10699,JODHPUR ROMANA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,Jodhpur Romana,Bathinda [226],Bathinda,Punjab,64.82,B,Performer,76.8,A,Front Runner,78.43,A,Front Runner,64.3,B,Performer,68.86,B,Performer,53.6,C,Aspirant,55.58,C,Aspirant,78.92,A,Front Runner,66.34,B,Performer,52.63,Unknown,Unknown,Jodhpur Romana,Jodhpur Romana,Bathinda,Bathinda,Punjab,2288.0,921.0,0.0,1367.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,457.0,457.0,PUNJAB,BATHINDA,BATHINDA,JODHPUR ROMANA,322.0,546.0,236.0,412.0,0.0,0.0,257.0,289.0
35778,KARAMGARH SATTRAN,10700,KARAMGARH SATRAN,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,Karamgarh Satran,Bathinda [226],Bathinda,Punjab,57.06,C,Aspirant,68.7,B,Performer,66.0,B,Performer,69.29,B,Performer,73.17,B,Performer,49.58,C,Aspirant,33.36,D,Beginner,79.89,A,Front Runner,47.25,C,Aspirant,52.63,Unknown,Unknown,Karamgarh Satran,Karamgarh Satran,Bathinda,Bathinda,Punjab,1771.0,950.0,0.0,821.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,303.0,303.0,PUNJAB,BATHINDA,BATHINDA,KARAMGARH SATRAN,313.0,604.0,225.0,475.0,0.0,0.0,326.0,278.0
35802,KATAR SINGHWALA,10701,KATAR SINGH WALA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,Katar Singh Wala,Bathinda [226],Bathinda,Punjab,63.44,B,Performer,78.9,A,Front Runner,75.87,A,Front Runner,69.6,B,Performer,66.76,B,Performer,54.89,C,Aspirant,51.71,C,Aspirant,77.98,A,Front Runner,57.83,C,Aspirant,52.63,Unknown,Unknown,Katar Singh Wala,Katar Singh Wala,Bathinda,Bathinda,Punjab,2284.0,750.0,0.0,1534.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,393.0,393.0,PUNJAB,BATHINDA,BATHINDA,KATAR SINGH WALA,283.0,569.0,232.0,487.0,0.0,0.0,270.0,299.0
35786,Mian,10710,MIAN,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,Mian,Bathinda [226],Bathinda,Punjab,61.2,B,Performer,73.16,B,Performer,77.47,A,Front Runner,62.76,B,Performer,67.93,B,Performer,48.39,C,Aspirant,41.17,C,Aspirant,79.29,A,Front Runner,58.33,C,Aspirant,52.63,Unknown,Unknown,Mian,Mian,Bathinda,Bathinda,Punjab,911.0,470.0,0.0,441.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,150.0,150.0,PUNJAB,BATHINDA,BATHINDA,MIAN,175.0,372.0,133.0,291.0,0.0,0.0,190.0,182.0
35783,Multania,10711,MULTANIA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,Multania,Bathinda [226],Bathinda,Punjab,65.77,B,Performer,68.18,B,Performer,74.63,B,Performer,83.57,A,Front Runner,75.45,A,Front Runner,52.36,C,Aspirant,54.47,C,Aspirant,76.34,A,Front Runner,66.28,B,Performer,52.63,Unknown,Unknown,Multania,Multania,Bathinda,Bathinda,Punjab,1415.0,726.0,0.0,689.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,260.0,260.0,PUNJAB,BATHINDA,BATHINDA,MULTANIA,191.0,388.0,180.0,370.0,0.0,0.0,183.0,205.0
35785,Naruana,10713,NARUANA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,Naruana,Bathinda [226],Bathinda,Punjab,66.15,B,Performer,75.01,A,Front Runner,79.53,A,Front Runner,72.06,B,Performer,59.97,C,Aspirant,57.84,C,Aspirant,61.98,B,Performer,78.28,A,Front Runner,66.49,B,Performer,52.63,Unknown,Unknown,Naruana,Naruana,Bathinda,Bathinda,Punjab,4134.0,1807.0,0.0,2327.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,737.0,737.0,PUNJAB,BATHINDA,BATHINDA,NARUANA,479.0,943.0,366.0,732.0,0.0,0.0,409.0,534.0
35794,Phus Mandi,10715,PHUS MANDI,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,Phus Mandi,Bathinda [226],Bathinda,Punjab,60.03,B,Performer,65.24,B,Performer,80.12,A,Front Runner,61.13,B,Performer,68.29,B,Performer,52.83,C,Aspirant,48.94,C,Aspirant,76.1,A,Front Runner,52.05,C,Aspirant,52.63,Unknown,Unknown,Phus Mandi,Phus Mandi,Bathinda,Bathinda,Punjab,1953.0,1180.0,0.0,773.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,376.0,376.0,PUNJAB,BATHINDA,BATHINDA,PHUS MANDI,314.0,578.0,269.0,500.0,0.0,0.0,232.0,346.0
35779,Sardargarh,10716,SARDARGARH,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,Sardargarh,Bathinda [226],Bathinda,Punjab,61.33,B,Performer,63.64,B,Performer,78.12,A,Front Runner,82.78,A,Front Runner,75.6,A,Front Runner,52.64,C,Aspirant,43.5,C,Aspirant,72.71,B,Performer,46.38,C,Aspirant,52.63,Unknown,Unknown,Sardargarh,Sardargarh,Bathinda,Bathinda,Punjab,2482.0,1054.0,0.0,1428.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,470.0,470.0,PUNJAB,BATHINDA,BATHINDA,SARDARGARH,310.0,548.0,261.0,463.0,0.0,0.0,256.0,292.0
