VILLAGE_NAME,PANCHAYAT_NAME,BLOCK_NAME,DISTRICT_NAME,STATE_NAME,TOTAL_POPULATION,SC_POPULATION,ST_POPULATION,GEN_POPULATION,NO._OF_HABITATIONS,IS_PWS_AVAILABLE,JJM_STATUS,HAR_GHAR_JAL_CERTIFICATE,TOTAL_HOUSEHOLDS,TOTAL_TAP_CONNECTIONS
Seona,Kath,Patran,Patiala,Punjab,1622.0,917.0,0.0,705.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,275.0,275.0
Khanewal,Khanewal,Patran,Patiala,Punjab,2784.0,2110.0,0.0,674.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,499.0,499.0
Khang,Khang,Patran,Patiala,Punjab,2696.0,1398.0,0.0,1298.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,360.0,360.0
Khaspur,Khaspur,Patran,Patiala,Punjab,1045.0,350.0,0.0,695.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,209.0,209.0
Lalwa,Lalwa,Patran,Patiala,Punjab,736.0,110.0,0.0,626.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,137.0,137.0
Matouli,Matauli,Patran,Patiala,Punjab,2286.0,1233.0,0.0,1053.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,418.0,418.0
Molviwala,Maulviwala,Patran,Patiala,Punjab,2293.0,929.0,0.0,1364.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,426.0,426.0
Naiwala,Naiwala,Patran,Patiala,Punjab,1604.0,727.0,0.0,877.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,303.0,303.0
Kalwanu,Nawa Pind Kalbanu,Patran,Patiala,Punjab,5369.0,1848.0,0.0,3521.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,897.0,897.0
Niyal,Nial,Patran,Patiala,Punjab,3263.0,1478.0,0.0,1785.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,581.0,581.0
Noorpur,Noorpura,Patran,Patiala,Punjab,877.0,151.0,0.0,726.0,8.0,Yes,Har ghar jal certified,Certificate by public health engineering department,150.0,150.0
Paind,Paind,Patran,Patiala,Punjab,1926.0,808.0,0.0,1118.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,381.0,381.0
Patran Rural,Patran Rural,Patran,Patiala,Punjab,1662.0,476.0,0.0,1186.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,470.0,470.0
Rampur Duggal,Rampur Duggal,Patran,Patiala,Punjab,477.0,47.0,0.0,430.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,71.0,71.0
Rasauli,Rassauli,Patran,Patiala,Punjab,1135.0,511.0,0.0,624.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,268.0,268.0
Sadharanpur,Sadaranpur,Patran,Patiala,Punjab,2397.0,569.0,0.0,1828.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,444.0,444.0
Shadipur Momian,Sadhi Pur / Momian,Patran,Patiala,Punjab,3037.0,1454.0,0.0,1583.0,9.0,Yes,Har ghar jal certified,Certificate by public health engineering department,583.0,583.0
Sagra,Sagra,Patran,Patiala,Punjab,2028.0,365.0,0.0,1663.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,290.0,290.0
Shutrana,Sahibzada Ajit Singh Nagar,Patran,Patiala,Punjab,13424.0,7961.0,0.0,5463.0,13.0,Yes,Har ghar jal certified,Certificate by public health engineering department,2348.0,2348.0
Sailwala,Salewala,Patran,Patiala,Punjab,1260.0,545.0,0.0,715.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,227.0,227.0
Brass,Santpura,Patran,Patiala,Punjab,3699.0,736.0,0.0,2963.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,645.0,645.0
Seona,Seona,Patran,Patiala,Punjab,1622.0,917.0,0.0,705.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,275.0,275.0
Shergarh,Shergarh,Patran,Patiala,Punjab,2696.0,1339.0,0.0,1357.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,631.0,631.0
Shergarh,Shergarh Khurd,Patran,Patiala,Punjab,2696.0,1339.0,0.0,1357.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,631.0,631.0
Shutrana,Shutrana,Patran,Patiala,Punjab,13424.0,7961.0,0.0,5463.0,13.0,Yes,Har ghar jal certified,Certificate by public health engineering department,2348.0,2348.0
Shutrana,Subhash Nagar,Patran,Patiala,Punjab,13424.0,7961.0,0.0,5463.0,13.0,Yes,Har ghar jal certified,Certificate by public health engineering department,2348.0,2348.0
Duttal,Sunder Nagar,Patran,Patiala,Punjab,3998.0,1985.0,0.0,2013.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,664.0,664.0
Teipur,Taipur,Patran,Patiala,Punjab,1676.0,626.0,0.0,1050.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,283.0,283.0
Tambuwala,Tamboo Wala,Patran,Patiala,Punjab,1256.0,683.0,0.0,573.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,225.0,225.0
Shutrana,Tugo Patti,Patran,Patiala,Punjab,13424.0,7961.0,0.0,5463.0,13.0,Yes,Har ghar jal certified,Certificate by public health engineering department,2348.0,2348.0
Galoli,Udam Singh Nagar,Patran,Patiala,Punjab,2933.0,1363.0,0.0,1570.0,5.0,Yes,Har ghar jal certified,Certificate by public health engineering department,701.0,701.0
Akarpur,Akbarpur,Rajpura,Patiala,Punjab,654.0,0.0,0.0,654.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,131.0,131.0
Aluna,Aluna,Rajpura,Patiala,Punjab,1388.0,416.0,0.0,972.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,257.0,257.0
Azizpur,Azizpur,Rajpura,Patiala,Punjab,736.0,220.0,0.0,516.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,127.0,127.0
Bakshiwala,Bakhsiwala Basti,Rajpura,Patiala,Punjab,1451.0,862.0,0.0,589.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,295.0,295.0
Bakshiwala,Bakshiwala,Rajpura,Patiala,Punjab,1451.0,862.0,0.0,589.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,295.0,295.0
Bal Majra,Bal Majra,Rajpura,Patiala,Punjab,377.0,147.0,0.0,230.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,75.0,75.0
Balsuan,Balsuan,Rajpura,Patiala,Punjab,784.0,274.0,0.0,510.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,155.0,155.0
Basantpura,Basantpura,Rajpura,Patiala,Punjab,1479.0,518.0,0.0,961.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,296.0,296.0
Bhappal,Bhappal,Rajpura,Patiala,Punjab,2154.0,646.0,0.0,1508.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,382.0,382.0
Bhatiras,Bhatiras,Rajpura,Patiala,Punjab,317.0,30.0,0.0,287.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,62.0,62.0
Bhateri,Bhattari,Rajpura,Patiala,Punjab,1613.0,484.0,0.0,1129.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,289.0,289.0
Budanpur,Budhanpur,Rajpura,Patiala,Punjab,1327.0,332.0,0.0,995.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,241.0,241.0
Buta Singh Wala,Buta Singh Wala,Rajpura,Patiala,Punjab,2495.0,624.0,0.0,1871.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,485.0,485.0
Chack Kalan,Chak Kalan,Rajpura,Patiala,Punjab,535.0,160.0,0.0,375.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,106.0,106.0
Chandu Majra,Chandu Majra,Rajpura,Patiala,Punjab,785.0,275.0,0.0,510.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,187.0,187.0
Chanduan Khurd,Chanduan Khurd,Rajpura,Patiala,Punjab,560.0,140.0,0.0,420.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,122.0,122.0
Changeran,Changera,Rajpura,Patiala,Punjab,1305.0,435.0,0.0,870.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,232.0,232.0
Chharbar,Chharbar,Rajpura,Patiala,Punjab,1376.0,289.0,0.0,1087.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,276.0,276.0
Damanheri,Damanheri,Rajpura,Patiala,Punjab,1834.0,642.0,0.0,1192.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,357.0,357.0
Devi Nagar Abrawan,Devi Nagar (A),Rajpura,Patiala,Punjab,2187.0,700.0,0.0,1487.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,420.0,420.0
Devi Nagar,Devi Nagar (R),Rajpura,Patiala,Punjab,562.0,141.0,0.0,421.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,97.0,97.0
Dhabali Kalan,Dhabli Kalan,Rajpura,Patiala,Punjab,1187.0,286.0,0.0,901.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,238.0,238.0
Dhabali Kalan,Dhabli Khurd,Rajpura,Patiala,Punjab,1187.0,286.0,0.0,901.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,238.0,238.0
Dharamgarh Hb-239,Dharamgarh (B),Rajpura,Patiala,Punjab,2537.0,761.0,0.0,1776.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,493.0,493.0
Dharamgarh Hb-24,Dharamgarh (R),Rajpura,Patiala,Punjab,503.0,151.0,0.0,352.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,102.0,102.0
Dhuma,Dhuma,Rajpura,Patiala,Punjab,755.0,226.0,0.0,529.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,130.0,130.0
Faridpur,Faridpur,Rajpura,Patiala,Punjab,983.0,345.0,0.0,638.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,194.0,194.0
Faridpur Gujran,Faridpur Gujjran,Rajpura,Patiala,Punjab,323.0,65.0,0.0,258.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,61.0,61.0
Fatehpur Garhi,Fatepur Ghari,Rajpura,Patiala,Punjab,1167.0,350.0,0.0,817.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,228.0,228.0
Gado Majra,Gado Majra,Rajpura,Patiala,Punjab,948.0,284.0,0.0,664.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,190.0,190.0
Gobindpura,Gobindpur (J),Rajpura,Patiala,Punjab,2272.0,795.0,0.0,1477.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,451.0,451.0
Gobindpura Chack Khurd,Gobindpura (C),Rajpura,Patiala,Punjab,262.0,65.0,0.0,197.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,51.0,51.0
Gurditpura,Gurditpura,Rajpura,Patiala,Punjab,1640.0,492.0,0.0,1148.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,357.0,357.0
Kehargarh,Gurditpura,Rajpura,Patiala,Punjab,178.0,35.0,0.0,143.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,25.0,25.0
Hadaitpura,Hadaitpur,Rajpura,Patiala,Punjab,765.0,191.0,0.0,574.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,111.0,111.0
Harrion,Harion,Rajpura,Patiala,Punjab,613.0,153.0,0.0,460.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,111.0,111.0
Hulka,Hulka,Rajpura,Patiala,Punjab,1454.0,436.0,0.0,1018.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,266.0,266.0
Jalalpur,Jalalpur,Rajpura,Patiala,Punjab,1021.0,327.0,0.0,694.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,190.0,190.0
Jandouli,Jandoli,Rajpura,Patiala,Punjab,5481.0,995.0,0.0,4486.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1101.0,1101.0
Jhansli,Jansli,Rajpura,Patiala,Punjab,1020.0,357.0,0.0,663.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,206.0,206.0
Jansui,Jansui,Rajpura,Patiala,Punjab,894.0,268.0,0.0,626.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,186.0,186.0
Jhajjon,Jhajon,Rajpura,Patiala,Punjab,821.0,354.0,0.0,467.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,162.0,162.0
Jansla,Jhansla,Rajpura,Patiala,Punjab,2132.0,746.0,0.0,1386.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,374.0,374.0
Kalouli,Kalauli,Rajpura,Patiala,Punjab,2106.0,665.0,0.0,1441.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,376.0,376.0
Kalouli,Kalauli Jattan,Rajpura,Patiala,Punjab,2106.0,665.0,0.0,1441.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,376.0,376.0
Kalo Majra,Kalo Majra,Rajpura,Patiala,Punjab,768.0,247.0,0.0,521.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,159.0,159.0
Karala,Karala,Rajpura,Patiala,Punjab,2072.0,764.0,0.0,1308.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,350.0,350.0
Khilawar,Khalaur,Rajpura,Patiala,Punjab,1458.0,504.0,0.0,954.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,253.0,253.0
Khanpur Banger,Khanpur Bangar,Rajpura,Patiala,Punjab,1230.0,430.0,0.0,800.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,220.0,220.0
Kharola,Kharaula,Rajpura,Patiala,Punjab,1889.0,567.0,0.0,1322.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,328.0,328.0
Khaspur,Khaspur,Rajpura,Patiala,Punjab,1178.0,412.0,0.0,766.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,217.0,217.0
Khera Gajju,Khera Gajju,Rajpura,Patiala,Punjab,4887.0,1222.0,0.0,3665.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,892.0,892.0
Kharajpur,Khirajpur,Rajpura,Patiala,Punjab,,,,,,,,,,
Kotla,Kotla,Rajpura,Patiala,Punjab,1177.0,353.0,0.0,824.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,203.0,203.0
Lehlan,Lehlan,Rajpura,Patiala,Punjab,536.0,134.0,0.0,402.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,103.0,103.0
Mamouli,Mamoli,Rajpura,Patiala,Punjab,271.0,0.0,0.0,271.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,59.0,59.0
Manakpur,Manakpur,Rajpura,Patiala,Punjab,3816.0,1145.0,0.0,2671.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,752.0,752.0
Manouli Surat,Manoli Surat,Rajpura,Patiala,Punjab,2744.0,861.0,0.0,1883.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,460.0,460.0
Mathiaran,Mathiaran,Rajpura,Patiala,Punjab,915.0,330.0,0.0,585.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,183.0,183.0
Mirjapur,Mirjapur,Rajpura,Patiala,Punjab,1515.0,455.0,0.0,1060.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,256.0,256.0
Naina,Naina,Rajpura,Patiala,Punjab,494.0,148.0,0.0,346.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,114.0,114.0
Nalas Kalan,Nalas Kalan,Rajpura,Patiala,Punjab,1595.0,478.0,0.0,1117.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,274.0,274.0
Nalas Khurd,Nalas Khurd,Rajpura,Patiala,Punjab,1282.0,373.0,0.0,909.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,211.0,211.0
NARAINGARH,NARAIN GARH,Rajpura,Patiala,Punjab,247.0,247.0,0.0,0.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,53.0,53.0
Parao Ugana,Parao Ugana,Rajpura,Patiala,Punjab,531.0,159.0,0.0,372.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,91.0,91.0
Pilkhani,Pilkhani,Rajpura,Patiala,Punjab,2044.0,613.0,0.0,1431.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,362.0,362.0
Ram Nagar Sounti,Ram Nagar / Saunti,Rajpura,Patiala,Punjab,374.0,94.0,0.0,280.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,64.0,64.0
Ramnagar,Ramnagar,Rajpura,Patiala,Punjab,1360.0,452.0,0.0,908.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,272.0,272.0
Rampur Kalan,Rampur Kalan,Rajpura,Patiala,Punjab,1705.0,512.0,0.0,1193.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,317.0,317.0
Rampur Khurd,Rampur Khurd,Rajpura,Patiala,Punjab,988.0,346.0,0.0,642.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,170.0,170.0
Rangian,Rangian,Rajpura,Patiala,Punjab,725.0,181.0,0.0,544.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,120.0,120.0
Sadhrour,Sadhror,Rajpura,Patiala,Punjab,807.0,202.0,0.0,605.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,148.0,148.0
Sadhrour,Sadhror Majri,Rajpura,Patiala,Punjab,807.0,202.0,0.0,605.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,148.0,148.0
Salempur,Salempur Nagal,Rajpura,Patiala,Punjab,1023.0,335.0,0.0,688.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,209.0,209.0
Sarai Banjara,Sarai Banjara,Rajpura,Patiala,Punjab,1473.0,770.0,0.0,703.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,202.0,202.0
Sarai Banjara,Sarai Banjara Basti,Rajpura,Patiala,Punjab,1473.0,770.0,0.0,703.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,202.0,202.0
Shamdoo,Shamdo,Rajpura,Patiala,Punjab,4324.0,1542.0,0.0,2782.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,742.0,742.0
Shamdoo,Shamdo Camp,Rajpura,Patiala,Punjab,4324.0,1542.0,0.0,2782.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,742.0,742.0
Sural Kalan,Sural Kalan,Rajpura,Patiala,Punjab,2126.0,744.0,0.0,1382.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,368.0,368.0
Sural Khurd,Sural Khurd,Rajpura,Patiala,Punjab,436.0,109.0,0.0,327.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,84.0,84.0
Tasouli,Tasauli,Rajpura,Patiala,Punjab,2022.0,708.0,0.0,1314.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,351.0,351.0
TEHALPURA,TEHALPURA,Rajpura,Patiala,Punjab,538.0,193.0,0.0,345.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,108.0,108.0
Ucha Khera,Ucha Khera,Rajpura,Patiala,Punjab,806.0,242.0,0.0,564.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,154.0,154.0
Ugana,Ugana,Rajpura,Patiala,Punjab,369.0,92.0,0.0,277.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,84.0,84.0
Ugani,Ugani,Rajpura,Patiala,Punjab,619.0,186.0,0.0,433.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,126.0,126.0
Kanwarpur,Uksi Jattan,Rajpura,Patiala,Punjab,62.0,24.0,0.0,38.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,10.0,10.0
UKSI JATTAN,Uksi Jattan,Rajpura,Patiala,Punjab,2006.0,602.0,0.0,1404.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,328.0,328.0
Uppalheri,Upal Heri,Rajpura,Patiala,Punjab,1349.0,405.0,0.0,944.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,265.0,265.0
Uppalheri,Uppalheri Khurd,Rajpura,Patiala,Punjab,1349.0,405.0,0.0,944.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,265.0,265.0
Urdan,Urdan,Rajpura,Patiala,Punjab,2239.0,784.0,0.0,1455.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,413.0,413.0
Urna,Urna,Rajpura,Patiala,Punjab,1441.0,432.0,0.0,1009.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,232.0,232.0
UKSI JATTAN,Uski,Rajpura,Patiala,Punjab,2006.0,602.0,0.0,1404.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,328.0,328.0
Wazirabad,Wazirabad,Rajpura,Patiala,Punjab,296.0,104.0,0.0,192.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,60.0,60.0
Achral Kalan,Achral Kalan,Samana,Patiala,Punjab,143.0,3.0,0.0,140.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,26.0,26.0
Achral Khurd,Achral Khurd,Samana,Patiala,Punjab,576.0,246.0,0.0,330.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,101.0,101.0
SAMANA(RURAL),AJIT NAGAR,Samana,Patiala,Punjab,450.0,22.0,0.0,428.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,95.0,95.0
Alampur,Alampur,Samana,Patiala,Punjab,1547.0,214.0,0.0,1333.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,257.0,257.0
Arain Majra,Arain Majra,Samana,Patiala,Punjab,1250.0,337.0,0.0,913.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,240.0,240.0
Assarpur,Asarpur,Samana,Patiala,Punjab,770.0,306.0,0.0,464.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,149.0,149.0
Asmanpur,Asmanpur,Samana,Patiala,Punjab,1417.0,278.0,0.0,1139.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,310.0,310.0
Badanpur,Badanpur,Samana,Patiala,Punjab,1820.0,851.0,0.0,969.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,250.0,250.0
Badshahpur,Badshahpur,Samana,Patiala,Punjab,2124.0,1057.0,0.0,1067.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,604.0,604.0
Badshahpur Kaleke,Badshahpur / Shivpura,Samana,Patiala,Punjab,1300.0,606.0,0.0,694.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,326.0,326.0
Bhagwanpura Urf Khatriwala,Bhagwanpura Urf Khatriwala,Samana,Patiala,Punjab,2480.0,579.0,0.0,1901.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,431.0,431.0
Bhedpuri,Bhedpuri,Samana,Patiala,Punjab,1222.0,462.0,0.0,760.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,226.0,226.0
Bijalpur,Bijalpur,Samana,Patiala,Punjab,1057.0,267.0,0.0,790.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,150.0,150.0
Bishanpura,Bishanpura,Samana,Patiala,Punjab,1232.0,751.0,0.0,481.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,245.0,245.0
Buta Singh Wala Urf Harigarh,Boota Singh Wala / Hari Garh,Samana,Patiala,Punjab,1073.0,521.0,0.0,552.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,221.0,221.0
Bujrak,Bujrak,Samana,Patiala,Punjab,2540.0,840.0,0.0,1700.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,460.0,460.0
Retgarh Urf Fatehgarh,Chak Amritsaria,Samana,Patiala,Punjab,4129.0,552.0,0.0,3577.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,495.0,495.0
Miyal,Chan Kamaspur / Mial Khurd,Samana,Patiala,Punjab,2048.0,408.0,0.0,1640.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,417.0,417.0
Chounth,Chounth,Samana,Patiala,Punjab,2377.0,712.0,0.0,1665.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,380.0,380.0
Chupki,Chupki (A),Samana,Patiala,Punjab,709.0,300.0,0.0,409.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,141.0,141.0
Chupki (nagri),Chupki (N),Samana,Patiala,Punjab,1390.0,444.0,0.0,946.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,284.0,284.0
Danipur,Danipur,Samana,Patiala,Punjab,1754.0,518.0,0.0,1236.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,253.0,253.0
Rajla,Dera Gaji Salar,Samana,Patiala,Punjab,3946.0,2160.0,0.0,1786.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,729.0,729.0
Dhanetha,Dhanetha,Samana,Patiala,Punjab,3862.0,1205.0,0.0,2657.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,805.0,805.0
Dharamgarh,Dharamgarh,Samana,Patiala,Punjab,513.0,52.0,0.0,461.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,95.0,95.0
Dhenthal,Dhenthal,Samana,Patiala,Punjab,1536.0,218.0,0.0,1318.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,296.0,296.0
Dodra,Dodara,Samana,Patiala,Punjab,1091.0,310.0,0.0,781.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,202.0,202.0
Dullar,Dullar,Samana,Patiala,Punjab,1347.0,583.0,0.0,764.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,269.0,269.0
Dwarkapur,Dwarakapur,Samana,Patiala,Punjab,548.0,143.0,0.0,405.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,43.0,43.0
Fateh Majri,Fateh Majri,Samana,Patiala,Punjab,2026.0,729.0,0.0,1297.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,358.0,358.0
Fatehgarh Chhana,Fatehgarh Chhana,Samana,Patiala,Punjab,3574.0,1212.0,0.0,2362.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,666.0,666.0
Fatehpur,Fatehpur,Samana,Patiala,Punjab,1598.0,512.0,0.0,1086.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,320.0,320.0
Gajewas,Gajewas (93),Samana,Patiala,Punjab,3830.0,1150.0,0.0,2680.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,654.0,654.0
Gajipur,Gazipur,Samana,Patiala,Punjab,1775.0,524.0,0.0,1251.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,343.0,343.0
Ghangroli,Ghangroli,Samana,Patiala,Punjab,1288.0,525.0,0.0,763.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,258.0,258.0
Gurdialpura,Gurdialpura,Samana,Patiala,Punjab,833.0,189.0,0.0,644.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,167.0,167.0
Bahmna,Guru Teg Bahadur Nagar,Samana,Patiala,Punjab,5017.0,1701.0,0.0,3316.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,844.0,844.0
Harchandpura,Harchand Pura (Town),Samana,Patiala,Punjab,1145.0,230.0,0.0,915.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,210.0,210.0
